StationID,LocationName,Address,City,State,Postcode,Country,Latitude,Longitude,PlugTypes,PowerKW,Quantity,NetworkProvider,UsageType,Status,LastVerified,Comments,UsageCost,PaymentRequired,MembershipRequired
72861,MG Investment,"201 Alhambra Circle
#514",Coral Gables,FL,33134,United States,25.7525939,-80.2597939,Type 1 (J1772),3,2,SemaConnect,Public - Membership Required,N/A,2019-04-06T04:01:00Z,Access: MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 06:00am-12:00pm; SU: Closed,N/A,FALSE,TRUE
119551,Hyde Midtown Condominium,"121 NE 34th Street
Suite 700",Miami,FL,33137,United States,25.8082614,-80.1938407,Type 1 (J1772),3,2,SemaConnect,Public - Membership Required,N/A,2019-04-01T04:59:00Z,Access: MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,N/A,FALSE,TRUE
227243,Yonkers Main Yard,"969 A Midland Ave
Yonkers, NY 10704",Yonkers,NY,10704,United States,40.935943,-73.8575832,Type 1 (J1772),3.7,6,Blink Charging,Public,Operational,2023-09-28T05:01:00Z,Access: 24 hours daily,N/A,N/A,N/A
158226,Third Floor Stations,"848 Brickell Key Drive
Suite 503",Miami,FL,33131,United States,25.7692838,-80.1837141,Type 1 (J1772),3.7,2,SemaConnect,Public,Operational,2020-06-26T02:52:00Z,Access: MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,N/A,N/A,N/A
138649,Manchester Financial Fifth Ave,"2550 Fifth Ave
#900",San Diego,CA,92103,United States,32.7319608,-117.1606582,Type 1 (J1772),3.7,2,SemaConnect,Public,Operational,2020-06-26T02:55:00Z,Access: MO: 06:00am-05:00pm; TU: 06:00am-05:00pm; WE: 06:00am-05:00pm; TH: 06:00am-05:00pm; FR: 06:00am-05:00pm; SA: 08:00am-02:00pm; SU: Closed,N/A,N/A,N/A
294794,Six Flags Entertainment Corporation Six Flags New England 1623 Main Street Far West Parking Lot,"Six Flags New England
1623 Main Street",Agawam,MA,1001,United States,42.03699837,-72.62124767,Type 1 (J1772),3.7,26,PEA Volta,Public,Operational,2024-02-20T10:28:00Z,Access: Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,N/A,N/A,N/A
145051,IG Great West Life and London Life,1052 de la Montagne,Montréal,QC,H3G 2W2,Canada,45.496182,-73.571807,Type 1 (J1772),3.7,2,flo,Public,Operational,2024-02-20T10:48:00Z,Access: 24 hours daily,N/A,N/A,N/A
248994,Immobilier Manuvie - 1001 Maisonneuve,1001 Boulevard de Maisonneuve O,Montréal,QC,H3A 3C8,Canada,45.501469,-73.574388,Type 1 (J1772),3.7,1,flo,Public,Operational,2024-02-20T10:48:00Z,Access: 24 hours daily,N/A,N/A,N/A
262359,2212 Maple Ave,2212 Maple Ave,Los Angeles,CA,90011,United States,34.02674,-118.263276,Type 1 (J1772),3.7,1,flo,Public,Operational,2024-02-20T09:47:00Z,Access: 24 hours daily,N/A,N/A,N/A
139734,Hotel Solaire Los Angeles,1710 West 7th Street,Los Angeles,CA,90017,United States,34.05449,-118.272838,Type 1 (J1772),3.7,3,Blink Charging,Public,Operational,2020-06-26T02:56:00Z,Access: MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,N/A,N/A,N/A
234973,"Burbank, CA - North San Fernando Boulevard - Tesla Supercharger",1009 N San Fernando Blvd,Burbank,CA,91504,United States,34.187451,-118.318014,NACS / Tesla Supercharger,250,8,Tesla (including non-tesla),Public,Operational,2024-06-05T12:44:00Z,Access: 24 hours daily,N/A,N/A,N/A
249075,387 Villeneuve,"387, Rue Villeneuve Est",Montréal,QC,H2T 1M1,Canada,45.525091,-73.585996,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2023-07-12T09:26:00Z,Access: 24 hours daily,N/A,N/A,N/A
158737,Greenlots - 12516A,660 Bonnie Brae,Los Angeles,CA,90057,United States,34.05675125,-118.2737427,Type 1 (J1772),3.7,1,Shell Recharge Solutions (US),Public,Operational,2020-06-26T02:56:00Z,Access: 24 hours daily,N/A,N/A,N/A
232682,806 Versaille,806 Versaille,Montréal,QC,H3C 1Z4,Canada,45.493394,-73.570132,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2023-07-12T09:25:00Z,Access: 24 hours daily,N/A,N/A,N/A
281737,EDUCATION CTR 7 & 8,523 S Santa Fe Ave,Compton,CA,90221,United States,33.891858,-118.216512,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T09:46:00Z,Access: 24 hours daily,N/A,N/A,N/A
71633,Washington State University - Pullman Plant Materials Center,Johnson Hall 113,Pullman,WA,99164,United States,46.731746,-117.157928,Type 1 (J1772),3.7,1,N/A,Private - Restricted Access,Operational,2024-02-20T10:51:00Z,,N/A,N/A,TRUE
240653,PEDIATRIC VLG EV 1 & 2,2701 Atlantic Ave,Long Beach,CA,90806,United States,33.80631,-118.186212,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T09:45:00Z,Access: 24 hours daily,N/A,N/A,N/A
144446,4231 St Laurent,4321 boul. St-Laurent,Montréal,QC,H2W 1Z4,Canada,45.518205,-73.581949,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2023-07-12T09:26:00Z,Access: 24 hours daily,N/A,N/A,N/A
3568,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,United States,34.040463,-118.268681,Type 1 (J1772),N/A,1,N/A,Public,N/A,2019-12-15T06:07:00Z,,N/A,N/A,N/A
3426,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,United States,34.040463,-118.268681,N/A,N/A,0,(Unknown Operator),N/A,N/A,2019-12-15T06:07:00Z,General: Cost To Charge: Pay lot Access Hours: 24 Hr,N/A,N/A,N/A
232601,32 ch. de la Pointe sud,"32, Chemin de la Pointe Sud",Montréal,QC,H3E 2A9,Canada,45.451582,-73.548966,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2023-07-12T09:24:00Z,Access: 24 hours daily,N/A,N/A,N/A
268977,2837 Council St,2837 Council St,Los Angeles,CA,90026,United States,34.072578,-118.279725,Type 1 (J1772),3.7,1,flo,Public,Operational,2024-02-20T09:49:00Z,Access: 24 hours daily,N/A,N/A,N/A
82196,Fiesta Americana Hacienda San Antonio el Puente,Reforma 2 Fracc. Real del Puente,Xochitepec,Morelos,62790,Mexico,18.793322,-99.228614,Tesla (Model S/X),18,2,Tesla (Tesla-only charging),"Private - For Staff, Visitors or Customers",Operational,2017-02-03T15:07:00Z,"General: 2 Tesla Connectors, up to 18kW.Available for patrons only. Please see front desk.",N/A,FALSE,FALSE
158768,3117 Temple St.,3117 Temple St,Los Angeles,CA,90026,United States,34.075181,-118.280758,Type 1 (J1772),3.7,1,flo,Public,Operational,2024-02-20T09:49:00Z,Access: 24 hours daily,N/A,N/A,N/A
270364,Canderel - 2200 Mcgill college,2200 Mcgill college,Montreal,QC,H3A 3P8,Canada,45.50346,-73.57427,Type 1 (J1772),3.7,2,flo,Public,Operational,2024-02-20T10:48:00Z,Access: 24 hours daily,N/A,N/A,N/A
73871,Sur Rue-Ville-Marie-Rue Metcalfe,1550 rue Metcalfe,Montréal,QC,H3A 3L8,Canada,45.501087,-73.573064,Type 1 (J1772),7,1,flo,Public - Membership Required,Operational,2017-02-10T08:53:00Z,,CAD 1.00/hour,FALSE,TRUE
23426,Centre Bell,1275 rue Saint-Antoine Ouest,Montréal,QC,H3C 5L2,Canada,45.49565125,-73.56819153,Type 1 (J1772),6.24,4,Circuit Electrique,Public,Operational,2016-12-08T09:17:00Z,"Date: 2014-11-03T18:46:03.94Z | User: danielbedard09 | Comment: Add another unit just beside the first one, a 240 volts charger J1772 | Status: Did Not Visit Location | URL: N/A",N/A,N/A,N/A
229638,RIVERSIDE BLDG STATION 1,54 French King Hwy,Gill,MA,1354,United States,42.610203,-72.543545,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T10:33:00Z,Access: 24 hours daily,N/A,N/A,N/A
249122,2228 Beaubien,2228 Beaubien,Montréal,QC,H2G 1M9,Canada,45.546687,-73.593456,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2023-07-12T09:26:00Z,Access: 24 hours daily,N/A,N/A,N/A
73823,Cadillac Fairview-Tour Deloitte,1190 ave. des Canadiens-de-Montréal,Montréal,QC,H3B 0M7,Canada,45.496439,-73.56845,Type 1 (J1772),7,1,flo,Public - Membership Required,Operational,2016-11-27T19:55:00Z,,CAD 1.00/hour,FALSE,TRUE
270318,Tour Intact,2020 Robert-Bourassa,Montréal,QC,H3A 2A5,Canada,45.50398,-73.57218,Type 1 (J1772),3.7,4,flo,Public,Operational,2024-02-20T10:48:00Z,Access: 24 hours daily,N/A,N/A,N/A
220728,4584 Santa Monica Blvd,4584 Santa Monica Blvd,Los Angeles,CA,90029,United States,34.09094859,-118.2887175,Type 1 (J1772),3.7,1,flo,Public,Operational,2023-07-12T08:14:00Z,Access: 24 hours daily,N/A,N/A,N/A
144284,2190 Favard,2190 Rue Favard,Montréal,QC,H3K 1Z8,Canada,45.475801,-73.557569,Type 1 (J1772),3.7,2,Circuit Electrique,Public,Operational,2020-06-26T03:09:00Z,Access: 24 hours daily,N/A,N/A,N/A
241110,1625 W Olympic EV,1625 W Olympic Blvd,Los Angeles,CA,90015,United States,34.04997,-118.27475,Type 1 (J1772),3.7,3,N/A,Public - Pay At Location,Operational,2024-02-20T09:48:00Z,"Access: 24 hours daily
Public - Credit card at all times",N/A,TRUE,FALSE
