StationID,LocationName,Address,City,State,Postcode,Country,Latitude,Longitude,PlugTypes,PowerKW,Quantity,NetworkProvider,UsageType,Status,LastVerified,Comments,UsageCost,PaymentRequired,MembershipRequired
225771,2504 Willow St Pike,2504 Willow St Pike,Lancaster,PA,17602,United States,39.990005,-76.284659,Type 1 (J1772),3.7,2,Shell Recharge Solutions (US),Public,Operational,2024-02-20T10:15:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
225079,HGIBELAIR LEFT STATION,4150 Philadelphia Rd,Bel Air,MD,21015,United States,39.480254,-76.257539,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T10:12:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
271196,CEC ST M MUSEUM,213 N Talbot St,Saint Michaels,MD,21663,United States,38.787759,-76.222001,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T10:06:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
217611,Legacy at Oakwood Landing,2705 Bosque Circle,Melbourne,FL,32940,United States,28.2133764,-80.6712441,Type 1 (J1772),3.7,6,Blink Charging,Public,Operational,2024-02-20T09:33:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
262578,AEMC- AEMC HQ LEVEL 2,125 Cooperative Way,Hertford,NC,27944,United States,36.201994,-76.450232,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T09:57:00Z,"Access: 24 hours daily; ""Kudos though on the fast response to restoring power.""; ""We recently had a rare outage in our area on a Saturday morning.""; ""Disappointed in what used to be a well run power company.""",N/A,N/A,N/A
92687,"Grasonville, MD",108 Jackson Creek Road,Grasonville,MD,21638-1086,United States,38.96573146,-76.22096772,NACS / Tesla Supercharger,150,12,Tesla (Tesla-only charging),Public - Membership Required,Operational,2023-11-20T03:24:00Z,"General: 12 Superchargers, available 24/7, up to 150kW, Access: Located at Royal Farms; No reviews found",$0.23/kWh; other tariffs for older cars,FALSE,TRUE
126293,Grist Iron Brewing Co. + Lodge,4880 State Highway 414,Burdett,Schuyler County,14841,United States,42.46990905,-76.8646236,Type 1 (J1772),9.6,1,(Business Owner at Location),Public,Operational,2019-05-15T09:09:00Z,"General: Juicebox Pro 40 for customers and guests, Access: Located in upper parking lot behind The Lodge; No reviews found",N/A,N/A,N/A
92389,Aberdeen Supercharger,I-95,Aberdeen,MD,21001,United States,39.497944,-76.230931,NACS / Tesla Supercharger,150,8,Tesla (Tesla-only charging),Public - Membership Required,Operational,2023-11-10T14:00:00Z,"General: 8 Superchargers, available 24/7, up to 150kW, Access: Located at Maryland House Travel Plaza; ""This is a great location for recharging and getting a cup of DD coffee.""; ""Clean and a convenient store with a subway for food.""; ""Good place for charging but only 8 chargers.""",$0.23/kWh; other tariffs for older cars,FALSE,TRUE
93250,The Narrows Restaurant,3023 Kent Narrow Wy S,Grasonville,Maryland,21638,United States,38.968861,-76.244728,Tesla (Model S/X),16,3,Tesla (Tesla-only charging),Public - Membership Required,Operational,2017-09-24T05:32:00Z,"General: 3 Tesla Connectors, up to 16kW.Available for customers. Please see front desk.; ""Ordered risotto with crab, spinach, mushrooms and grilled tomatoes.""; ""Drinks, food, atmosphere, and service were all excellent!""; ""Main lunch item (hamburger) was over cooked and served on a stale bun.""",N/A,FALSE,TRUE
281840,Morehead City,270 Arthur Farm Road,Newport,NC,28570,United States,34.7459081,-76.810599,Type 1 (J1772),3.7,4,ChargeUp (NovaCharge),Public,Operational,2024-02-20T09:52:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
225908,HIGH ASSOCIATES BUILDING 380 A,1740 Hempstead Rd,Lancaster,PA,17601,United States,40.050865,-76.252166,Type 1 (J1772),3.7,2,ChargePoint,Public,Temporarily Unavailable,2024-02-20T10:16:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
191386,Ivy - Timmins Canadian Tire,2207 Riverside Drive,Timmins,ON,P4R 1N4,Canada,48.47232194,-81.40534747,"CHAdeMO, CCS (Type 1)","50, 50",4,IVY,Public - Membership Required,Operational,2024-11-23T11:49:00Z,"General: Membership account required. Payment with QR code (https://charge.id/ivy-xxxx), mobile app (Ivy Charging Network 2.0) or RFID card. No credit card reader at the charger., Access: Available 24/7; No reviews found",$0.62/kWh,FALSE,TRUE
269776,Alexander Family Buick GMC,399 Central Rd,Bloomsburg,PA,17815,United States,41.010667,-76.412921,CCS (Type 1),50,1,EV Connect,Public,Operational,2024-02-20T10:22:00Z,"""I enjoyed the people that work there and look forward to my next service.""; ""Kevin and the rest of the staff were extremely helpful and friendly.""; ""These people are a joke they will not even offer you scrap price on a trade-in.""",N/A,N/A,N/A
276965,Res Park Garage,600 Willow Valley Square,Lancaster,PA,17602,United States,39.99822817,-76.28429167,Type 1 (J1772),3.7,1,Blink Charging,Public,Operational,2024-02-20T10:15:00Z,"Access: 24 hours daily; ""The team members are very helpful, the food,sweets,coffee are awesome!""; ""Very nice place to retire, if you saved up enough money for your retirement.""; ""Comfy meet and greet area.""",N/A,N/A,N/A
190768,Jule - Our Daily Bread Groceries,6722 Highway 11,Temagami,ON,P0H 2H0,Canada,47.06412076,-79.7908075,"CCS (Type 1), CHAdeMO","50, 50",6,Jule,Public - Pay At Location,Operational,2024-01-22T07:20:00Z,"General: It was free in the past. Current payment options unknown.; ""Great little grocery store with huge variety and accomadating owners and staff.""; ""Great people, great food, great prices.""; ""Nice selection of food items and souvenirs.""",,TRUE,FALSE
67413,The Inn at Turkey Hill and Brewing Co - Tesla,991 Central Rd,Bloomsburg,PA,17815,United States,41.0247709,-76.4267564,Tesla (Model S/X),8,2,Tesla (Tesla-only charging),Public,Operational,2017-01-31T19:24:00Z,"Access: 24 hours daily; for Tesla use only; for guest use only; see front desk for access; ""Beautiful room, friendly staff, comfy bed and great food!!""; ""Excellent service, nice atmosphere...best fine dining in the Bloomsbury area.""; ""I was the designated driver but my company enjoyed the beers on the menu.""",Free,N/A,N/A
230047,Geneva on the Lake Resort,1001 Lochland Rd,New York,NY,14456,United States,42.848887,-76.980257,Type 1 (J1772),3.7,4,flo,Public,Operational,2024-02-20T10:35:00Z,"Access: 24 hours daily; ""Truly enjoyed the grounds, rooms, meals and service.""; ""Comfy bed, clean, great linens and towels, friendly staff.""; ""Restaurant has a selection of dry wine only.""",N/A,N/A,N/A
121308,Finger Lakes Welcome Center,35 Lake Front Dr,Geneva,NY,14456,United States,42.870128,-76.977625,Type 1 (J1772),3.7,4,N/A,Public,Operational,2024-02-20T10:35:00Z,"Access: 24 hours daily; no overnight parking; ""Local roasted coffee, maple syrup, decor, ice cream, wine.""; ""The playground is so cute and offers a selection of climbing options.""; ""Brand new facility with lots of space, good stuff and excellent staffing.""",N/A,N/A,N/A
93350,St. Michaels Winery,609 S. Talbot St,St. Michaels,Maryland,21663,United States,38.781182,-76.221799,Tesla (Model S/X),10,1,Tesla (Tesla-only charging),Public - Membership Required,Operational,2017-09-27T19:20:00Z,"General: 1 Tesla Connector, up to 10kW.Available for customers. Please see front desk.; No reviews found",N/A,FALSE,TRUE
283136,SWTCH Energy,17598 Loyalist Pkwy,Wellington,ON,K0K 3L0,Canada,43.93743079,-77.41632128,Type 1 (J1772),3.7,1,SWTCH - Charge Everywhere,Public,Operational,2024-02-20T10:42:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
231665,PUBLIC CHARGING TRENTON ARENA,8 Couch crescent,Quinte West,ON,K8V 1G8,Canada,44.101348,-77.568564,Type 1 (J1772),3.7,2,ChargePoint,Public,Operational,2024-02-20T10:43:00Z,Access: 24 hours daily; No reviews found,N/A,N/A,N/A
225077,HGIBELAIR RIGHT STATION,4160 Philadelphia Rd,Bel Air,MD,21015,United States,39.479768,-76.257143,Type 1 (J1772),3.7,2,ChargePoint,Public,Temporarily Unavailable,2024-02-20T10:12:00Z,"Access: 24 hours daily; ""Fantastic service, great food, awesome housekeeping.""; ""Small menu in restaurant but best house salad EVER!""; ""I loved the walk-in shower and the bright makeup lights on the bathroom mirror.""",N/A,N/A,N/A
