Industrial Park Name,Name (Ministry),Manager (Ministry),Location English,Regency,Province,Size (ha),Latitude,Longitude,Location Notes,General Background,Electricity Provider,Captive Coal Power Plant,Captive Gas Power Plant,Electricity Capacity Notes,Electricity Capacity (MW),Planned Electricity Capacity,Estimated Electricity Capacity (MW),Website,Tenants,Additional Sources,Foreign Founder or Manager,Foreign Tenants,Foreign Company Involvement Notes,Status Notes,"Status (Operational, Operational with Continued Construction, Under Construction, Before Construction, Unclear, Stalled)",Year Operations Began,Year Construction Began,Year Founded ,Dispute,Dispute Explanation,Environmental Concerns,Mention of renewable energy,Electric Vehicle (Production Mentioned),Nickel,Main Industry,Main Industry Notes,August 2023 Sentinel Check
Kawasan Industri Aceh - Ladong,Kawasan Industri Aceh - Ladong,PT. Pembangunan Aceh,"Ladong, Mesjid Raya, Aceh Besar Regency, Aceh, Indonesia",Aceh Besar Regency,Aceh,66,5.646268673,95.45808993,,"Aceh Ladong Industrial Estate is one of the Leading Industrial Estates in Aceh Province. Aceh Industrial Estate (KIA) is an area established by the Aceh government which is located 20 KM from Banda Aceh City. Currently, the area has provided ±66 hectares of land for the development of various industries (various industries).

The competitive advantage of KI Ladong is its strategic position (access to Sultan Iskandar Muda international airport about 28 km, Malahayati port about 10 km, Ulee Lheu port about 30 km, and the Banda Aceh - North Sumatra toll road 9 km), close to trade routes international - the Malacca Strait, the uniqueness and diversity of products in Aceh, abundant raw materials (especially crude palm oil/ CPO and fishery products), supporting human resources/ HR for the availability of labor in the region, increasing trend of demand for halal products and in accordance with with the good will of the central government.

In the Master Plan, KI Ladong's core business is land leasing, building leasing, office units, multi-function units, warehouse units, and industrial waste management. The tenant zoning in the KI Ladong Master Plan is the zone for the halal food industry, manufacturing, logistics, and chemical industry. The areas for each zone are: offices ±1.5 ha; WWTP area ± 7.4 ha; flat area ± 2.7 ha; public area/ green open space ± 2.3 ha; public facilities ± 1.1 ha; commercial land ± 51.98 ha.",,,,"humas.acehprov.go.id, 12/20/2018: To meet the need for electrical energy, said Mustafa PLN, which is already committed to meeting electricity needs. Currently, PLN is also building a PLTG with a capacity of 50 MW in Ladong. As for the need for clean water, it will be taken from the Krueng Aceh River through PDAM Tirta Montala Aceh Besar.",,,,"https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=864#areaPeta
","PT Alpine Green - first tenant as of November 18, 2021","https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=864
https://kemenperin.go.id/artikel/22941/Kemenperin-Dorong-Masuknya-Investor-ke-Kawasan-Industri-Ladong_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc 
https://www-acehportal-com.translate.goog/news/kawasan-industri-aceh-kia-ladong-jadi-magnet-pengembangan-industri-di-aceh/index.html?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
https://www.acehportal.com/news/kawasan-industri-aceh-kia-ladong-jadi-magnet-pengembangan-industri-di-aceh/index.html 
https://kemenperin.go.id/artikel/22941/Kemenperin-Dorong-Masuknya-Investor-ke-Kawasan-Industri-Ladong
https://www.youtube.com/watch?v=QtTH5HiZNc0",N/A,Japan,PT. Alpine Green is a sister of company of PT. Nihhon Hudle from Japan,"Aceh Portal, 6/18/22: ""The Aceh Kadisperindag also explained that a few months ago there had been investor interest through PT Alpine Green to build a palm shell processing factory with export-oriented products in the Aceh Industrial Area (KIA) Ladong. According to him, the entry of PT Alpine Green as the first tenant at KIA Ladong, will later be able to encourage other prospective tenants to enter and carry out their economic (industrial) activities at KIA Ladong, Aceh Besar.""
Head of KIA stated ""KIA Ladong is already at the operational stage, marked by the issuance of an industrial area business permit. Now, we have freed up 71.38 hectares of land that we have and already have Land Management Rights (HPL), there are 65.6 hectares.""

seranbinews.com, via youtube, 6/4/2022: ""The Special Committee (Pansus) Accountability Statement Report (LKPJ) for the Governor of Aceh for the 2021 fiscal year has revealed surprising facts regarding the development of the Ladong Aceh Industrial Area (KIA) in Aceh Besar.
It turns out that from the start of development in 2009 to 2022, there have not been any business units standing in the area that was previously created to stimulate investors to come to Aceh.""

kemenperin.go.id, 11/18/2021: First tenant joined in 2021. PT Alpine Green facilities under construction.  ",Under Construction,,2019,,,,,,,,Palm Oil,Palm Oil shell processing,
Bintan Inti Industrial Estate,Bintan Inti Industrial Estate,PT. Bintan Inti Industrial Estate,"Teluk Lobam, Seri Kuala Lobam, Bintan Regency, Riau Islands, Indonesia",Bintan Regency,Riau Islands,325,1.007295,104.260829,,"Bintan Industrial Estate is owned by Gallant Venture Ltd, a public-listed company in Singapore. Gallant Venture is a commercial development and management group in Riau Archipelago and an integrated master planner for industrial parks and resorts in Batam and Bintan. The major shareholders include Salim Group from Indonesia and Sembcorp Industries Ltd from Singapore. Bintan Industrial Estate is the only industrial estate in Bintan and span across 270 hectares at the south-western part of the island. It is a rare sea-fronting industrial estate with up to 4,000 hectares of expansion potential. Within its premises, tenants enjoy access to a container port with international port-of-call status, dedicated customers, immigration and quarantine (CIQ) facilities as well as an exclusive passenger ferry terminal. These translate into secure, smooth and timely facilitation of freight shipments, which is mission-critical to just-in-time production schedules. The industrial estate also houses a range of ready-built factories that are suitable for warehousing and distribution to Singapore. As a self-contained development, Bintan Industrial Estate offers full lifestyle facilities from accommodation and amenities to recreational and leisure options. Much thought has been put into ensuring that its tenants enjoy all the modern conveniences while living in a lush, tranquil environment. The estate is completed by its excellent and professionally managed supporting infrastructure, amenities and total customer service solutions.",PT BIIE,,,"21
24 MW through 6 generators at Bintan Industrial Estate",24,,,"http://www.gallantventure.com/
http://www.bintanindustrial.com/#/media/marketplace"," PT AMC Bintan (Subsidiary of Advanced Integrated Manufacturing Corp. Ltd), PT Esco Bintan, PT Bintan Inti Industrial Estate, Singatac Engineering, Yoshikawa Electronics Bintan, PT. PERTAMA PRECISION BINTAN, Bionesia Organic Foods  ",,N/A,,,In operation,Operational,,,1994,,,,,,,Manufacturing,"Electronics Manufacturing, Garment Manufacturing",
Kawasan Industri Wiraraja,Kawasan Industri Wiraraja,PT Wiraraja Indonesia,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,112,1.057100895,104.1280554,,,PLN,,,"20,000 Kva",20,,,https://wiraraja.com/,"Marubeni-Itochu Steel Inc., PT. Abps Technology Batam, PT. Arya Wiraraja Plastikindo, PT. Batam Tri Sakti, PT. Expravet Nasuba, PT. Global Kara Sukses, PT. Guna Lintas Jaya, PT. King Shining Industry, PT. Nusantara Ecoplas Berkah Bersama, PT. O Ok Perkasa, PT. Pratama Gasindo Jaya, PT. Shun Xinda Plastic Production, PT. Surya Agung Plasindo, PT. Wiraraja Bintang Persada, PT. Wiraraja Div II, PT. Wiraraja Technologi, PT. Wiraraja Yunan International, PT. Xin Poly Industry, PT. Yunan Strategix, QSPAC Industries Inc      ","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://gowest.id/wiraraja-indonesia-segera-resmikan-pabrik-energi-baru-terbarukan/",N/A,,,In operation,Operational,,,,,,,"Plans to inaugurate solar power plant panel factory, with involvement of Japanese and American companies
gowest.id, 1/24/2023: ""BATAM is increasingly thick with investment potential in the new renewable energy (EBT) sector. This is because one of the industrial areas in Batam, namely the Wiraraja Indonesia area, plans to inaugurate a factory for the production of solar power plant panels (PLTS).
Based on GoWest Indonesia's monitoring, the building for an EBT company named Apolo Solar Indonesia is currently under construction. It is located at the back of Wiraraja.
The owner of Wiraraja, Akhmas Ma'ruf Maulana, said that the inauguration of the EBT factory would be carried out by President Jokowi. He has coordinated with the Coordinating Minister for the Economy, Airlangga Hartarto to make this happen.
""Through the Coordinating Minister for Airlangga, we have asked President Jokowi to be present at the ribbon-cutting agenda for the inauguration of the EBT industry in Wiraraja,"" said Ma'ruf, Wednesday (4/1).",,,Mixed/General,"Mix - Steel, Plastic, Contractor, Hatchery, Stretch Film, Electricity, Tapes and Packing Materials, Pipe / Warehouse, Trade",
Batamindo Industrial Park,Batamindo Industrial Park,PT Batamindo Investment Cakrawala,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,320,1.069836,104.025841,,"Batamindo Industrial Park is owned by Gallant Venture Ltd, a public-listed company in Singapore. Gallant Venture is a commercial development and management group in Riau Archipelago and an integrated master planner for industrial parks and resorts in Batam and Bintan. The major shareholders include Salim Group from Indonesia and Sembcorp Industries Ltd from Singapore. Batamindo Industrial Park was conceptualised under an economic cooperation agreement between the governments of Indonesia and Singapore in 1989. Since its inception in 1990, the 320-hectare industrial park has evolved into an ‘MNC Park’ with a multitude of international brands having their regional manufacturing presence here. The park is built on a solid foundation with key supporting infrastructure such as power generation, water and waste treatment, telecommunications, sanitary systems, firefighting and medical facilities as well as excellent estate management and thoughtful worklife amenities. Its value proposition is providing a total business solution based on cost-competitiveness and global connectivity that delivers sustainable success to businesses. To cater to a variety of manufacturing operations, the park offers a selection of ready-built factories for companies to choose from. These factories share a design commonality of flexible layouts with separate areas for offices, production as well as loading and unloading. Beyond that, companies are free to design the interior to best fit their needs. For those with unique factory specifications, Batamindo Industrial Park has set aside ready land parcels to allow for custom-built facilities.",PT BIC,,,"130 MW (Batam ebook)
through 6 fuel powered generators",130,,,"http://www.gallantventure.com/
http://www.batamindoindustrial.com/#/batamindo/about","Alteco Chemical Indonesia PT., Asiatech Manufacturing Indonesia PT., Batamindo Services Sinindo PT., Birotika Semesta (DHL Express) PT., Blackmagic Design Manufacturing PT., CIBA Vision Batam, Cicor Panatec PT., Completion Product Indonesia PT., Daihan Labtech PT., Dynacast Indonesia PT., Epson Batam PT., EX Batam Indonesia PT., Excellitas Technologies PT., Flextronics Technology Indonesia PT., Fluid Sciences Batam/Eaton PT., Grace Solution PT., Greenlam Asia Pasific PT., Green Structure Industries PT, Greentech Globalindo PT., HLN Batam PT., Honfoong Plastic Industries PT., Indomarco Prismatama PT, Industrial Brushware AsiaPacific PT., Infineon Technologies Batam PT., Intricon Indonesia PT., JMS Batam PT., Jotun Indonesia PT., KEMET Electronics Indonesia PT., Maruho Hatsujyo Batam PT., Megastar Persada PT., Microcast Technology Indonesia PT., Mitsubishi Jaya Elevator and
Escalator PT., Nidec Servo Batam PT., Nissin Kogyo Batam PT., NOK Freudenberg Sealing Technologies PT., NOK Precision Component Batam PT., Patlite Indonesia PT., Pegatron Technology Indonesia PT., Petrolog Harapan Abadi Semesta
PT., Primo Microphones PT., Printech Manufacturing
Indonesia PT., Rapala VMC Batam PT., Ronstan International PT. , Rubycon Indonesia PT, Sammyung Precision Batam PT., Sanipak Indonesia PT, Sansyu Precision Batam PT., Sanwa Engineering Batam PT., Scanjet Production Indah PT., Schneider Electric Manufacturing Batam PT., Shimano Batam PT, SIIX Electronics Indonesia PT, Simatelex Manufactory Batam
PT., Soxal Batamindo Industrial Cases PT., STP Manufacturing Batam PT, Sumitomo Wiring Systems Batam Indonesia PT., Suntech Plastic Industries Batam PT., Surya Teknologi Batam PT., Tacu Technology Batam PT., Takamori Indonesia PT., TEC Indonesia PT., Teckwah Paper Products Indonesia PT., Tunaskarya Indoswasta PT., Unisem PT., Uwatec Batam PT., Valeo AC Indonesia PT., Varta Microbattery Indonesia PT., Venturindo Jaya Batam PT., Virgotama PT., VMC Fishing Tackle Indonesia PT., Wohirab Indonesia PT., Yeakin Plastic Industry PT., Yokogawa Manufacturing Batam PT.",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,1990,,,,,,,,,Mixed/General,"Electronic and Electrical Products, Pharmaceuticals, Plastic Moulds, Precision Parts",
Panbil Industrial Estate,Panbil Industrial Estate,PT. Nusatama Properta Panbil,"Kabil, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,103,1.079296,104.025371,,"Panbil Industrial Estate is one of the largest industrial estate in Batam. It is strategically located on 170 hectares of prime land in the centre of Batam island, Indonesia which is only 20 km away to the South East of Singapore. Batam’s strength include its FTZ (Free Trade Zone) status, complementary alliance with Singapore, availability of competitive cost of labour and supported by an established infrastructure.
As part of Batam’s emerging economy, Panbil Industrial Estate is the site to many European, Asian and Australian companies including MNC’s such as Philips (Netherland), Epcos TDK (Japan-Germany), WIK (Germany), Doellken Surteco (Germany), Shimano (Japan), Nittoh Kogaku (Japan), Teraoka (Japan), Sunningdale Tech (Singapore), PCI Elektronik Internasional (Singapore), WIN WIN Rubber (Singapore), Chye Choon (Singapore) etc. Panbil Industrial Estate is committed to providing world class manufacturing facilities, excellent infrastructures and fully integrated to support to the investors. Vision of the development of Panbil Industrial Estate is to become the preferred partner for investors seeking to maximize global competitiveness and investment returns. The estate is specifically designed to bring a competitive advantage to business needs. It offers a one stop shop for the investors, so that investors would be easier to understand and arrange investment procedures. Panbil Industrial Estate is a fully integrated, selfsufficient, and self-contained industrial township providing factory buildings, commercial and retail center, Panbil mall, social and recreational amenities, dormitory for workers, the Best Western Premier Panbil hotel, Villa Panbil, Panbil Residence (service apartment) and clubhouse.
Panbil offers investors peace of mind by providing comprehensive, secure and selfsufficient infrastructure which includes: Electricity power supply from Panbil Power Plant, Fresh Water Supply from Water Treatment Plant, Sewage Treatment and Gas Supply Distribution Network from the State Own Gas Company. For more information please contact us and visit our website at www.panbil.co.id",Power Plant,3,,"40 MW
Estate Owned Power Plant with 45 MW Capacity (Batam ebook)",45,,,http://www.panbil.co.id/,"Colamas Indah Sejati PT, Chye Choon Indonesia PT, Doellken Bintan PT, EPCOS Indonesia PT, Etowa Packaging Indonesia PT, Evergrown Technology PT, Fuda Industries PT, Geomax Oilfield Technology PT, GIH PT, Greentech Globalindo PT,  HT Manufacturing PT, JP Technology PT, Inzign PT, Megastar Persada PT, Natural Altovira PT, Nittoh Batam PT, PCI Elektronik Internasional PT, Philips Industries Batam PT, Shimano Batam PT, STX Precision Batam PT, Sunningdale Tech PT, Three Cast Indonesia PT, Tropical Electronics PT, WIK Far East Batam PT, Win Win Rubber Technologies",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,2001,,,,,,,,,Mixed/General,"Mix - Warehouse, Food products, Electronic compenents, CNC Drill, Metal Stamping, Plastic Recycling, Fishing equipment, Medical products, Contractor, Electronic Manufacturing, Bicyle Components, Die Casting, Plastic, Domestic Appliances Products, Rubber Products",
Bintang Industrial Park (I),Bintang Industrial Park (I),PT. Bintang Propertindo,"Tanjung Uncang, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,16,1.05622,103.92552,,"Bintang Industrial Park I was established in 1998 which is located on Jl. Yos Sudarso, Sungai Jodoh, Kec. Batu Ampar, Batam 29444 with a total area of ​​15 Ha, has been built and filled by 6 tenants with facilities such as Canteen, ATM, Mosque and 24-hours Security with CCTV, Garbage Service. The facilities and infrastructure such as internet (Telkom & Indosat), water treatment (SPAM), electricity (PLN), telecommunications (telephone) and gas (PGN).
The workforce in the Bintang Industrial Park I area is 188 consisting of 157 male workers and 31 female workers. The largest investment in the Bintang Industrial Park I area is dominated by the State of Indonesia. The companies with the highest investment value are dominated by PT Arakanmarine Automation, Pt Segara Catur Perkasa, Pt Samudra Oceaneering, Pt Arte International, Pt Cahaya Abadi Teknologi.",PLN,,,,,,6.0496,https://www.bintangindustri.com/,"PT Arakanmarine Automation, PT Segara Catur Perkasa, PT Samudra Oceaneering, PT Arte International, PT Cahaya Abadi Teknologi",https://pusbang.bpbatam.go.id/detailpost/profil-bintan-industrial-park-i,N/A,,,In operation,Operational,1998,,,,,,,,,Mixed/General,"Ship building/engineering, underwater engineering",
Latrade Industrial Park,Latrade Industrial Park,PT. Latrade Batam Indonesia,"Tanjung Uncang, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,52,1.050391,103.924879,,"Situated in Tanjung Uncang, west of Batam island, Latrade Industrial Park (LIP) is one of the latest industrial developments in Batam island that is designed to meet the sophisticated requirements of modern industrialists seeking cost effective relocation or expansion opportunities.
Developed by PT. Latrade Batam Indonesia, a subsidiary of Latrade Singapore Pte Ltd, is a 100% Singaporean-owned. Latrade provides quality factories at competitive price. With high performance, Latrade hands over buildings in 3-6 months after signing contract.
LIP is designed as an integrated industrial park with trend setting designs and excellent standard of factory building surrounded by well-maintained gardens and parks. LIP is set to be self-contained with a full spectrum of essential supporting facilities including power plants with back-up generators, telecommunication lines, broadband lines, food courts, stores, medical and banking services.
LIP caters to have various operational requirement of the light to medium industries including textiles, garment, shoes, valve, sofa, electric assembly, packaging, printing, material processing, plastic molding, knock-down furniture, biosciences & chemical and engineering work.",PT. PLN Batam,,,,,,19.6612,http://www.latrade-batam.com/,"Latrade Batam Indonesia PT, KSW Batam PT, Furniplus Asia PT, Bioworld Biosciences Manufaturing
Indonesia PT, Universal Laboratories PT, Wearsmart Textiles PT, Tomoe Valve Batam PT,  Resintech Indomas PT, Rainbow Manufacturing PT, Green Structure Industries PT, ZC Industries PT, Sinar Teknik Sejahtera PT, Semangat Baja Mandiri PT, Sultan Mora Teknologi PT, ZC Industries PT  ",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation since 2000,Operational,2000,,,,,,,,,Mixed/General,"Mix - Composite wood manufacturer, shoes, furniture, fertilizer & pesticides, environmental testing, garments, valves, pipes, alloy & stainless steel, packaging",
Puri Industrial Park 2000,Puri Industrial Park 2000,PT. Teluk Pantaran Indah,"Baloi Permai, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,24,1.115692,104.056861,,N/A,PLN,,,,,,9.0744,N/A,"Takwindo Batam PT., I-tech Engineering PT., Surya Agung Plasindo PT., CSK Insulation PT. Engineering, Interpak Industries Batam PT., Sukanda Djaya PT, Duta Prakarsa Sempurna PT., Sys-Mac Indonesia PT., Waen Indonesia PT, MPLAS Engineering Batam PT., Interpak Industries Batam PT., 2 Indopack Industries Batam PT., THG Engineering PT., Karya Jasa Baja PT, Wilmax PT., Sinyotama Indonesia PT., Metal Batam PT., Interpak Industries Batam PT., Triplus Hitech PT., Capella Dinamik Nusantara PT, Enseral Putera Megatranding PT, Bravo Engineering Batam PT., Hong Shong Plastic Industry PT, Karya Jasa Baja PT., Chuck Engineering Batam PT., Inline Fluit Controls PT., Prima Niaga Indomas PT., Jin Yuan Plastic Recycle PT, Kaisar Sinar Hisash PT, Yafindo Mitra Permata PT., Kokons Mitra Abadi PT, Tunas Mitra Jaya PT., All Lifting Indonesia PT, Hong Tai Utama Industri PT., Catur Mitra Sejati sentosa PT.        
         ","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://kfmap.asia/industrial/puri-industrial-park-2000-13167",N/A,,,In operation,Operational,,,,,,,,,,Mixed/General,"Mix - Trading, Electrical Components, Packaging, Food, Plastic Recycling, Plastic, Oil & Gas, Plastic molding, Honda warehouse, Pharmacy, Motorbike Parts, Aluminum Windows and Doors, Retail Building Materials",
Tunas Industrial Estate,Tunas Industrial Estate,PT. Tritunas Bangun Perkasa,"Belian, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,21.33,1.107316,104.07219,,"Tunas Industrial Estate was developed by PT. Tritunas Bangun Perkasa, it was established in 2000 and built on 39 hectares of land. Considering Batam’s excellent economic growth and ever-increasing demand for industrial spaces, PT. Tritunas Bangun Perkasa decided to expand by opening up 10 hectares in March 2012 and another 15.6 hectares on May 2013 for another integrated business and Industrial Park. It provides not only industrial buildings and warehouses, but also commercial and retail outlets.
Nowadays, Tunas Industrial Estate is the largest and most occupied estate in Batam Centre area. With 64 hectares of land, Tunas Industrial Estate is a home to over 100 tenants with more than 250 factory units in multiple sizes and 82 units of multi-function builddings. Tunas Industrial Estate caters to small, medium and big business. Tunas Industrial Estate is one of the 3 industrial estates in Batam with an in-house power plant that is able to operate at the level of 11.2 MW maximum capacity to support the tenants’ businesses. Tunas Industrial Estate also provides a management team that is working full time in order to meet the clients’ needs as well as providing 24- hour security to care for their safety. ",PT Tunas Energi,3,,12 MW (Batam ebook) (split between 3 industrials parks at the same location),4,,,https://www.tunasindustrial.com/,"PT. Srijaya Raya Perkasa, PtT. Aohai Technology Indonesia, PT. Reacs Precision Batam, PT. Sri Indah Aluminium Extrusion, PT. Global Packing Batam, PT. Bintang Asia Usaha, PT. Indo Kreasi Grafika, PT. Hassani Can Packing, PT. Sinar Baru Batam, PT. Chandra Inovasi Persada Tri Abadi, PT. Techmicron, Toko Jaya Indah, PT. Inaraya Sukses Pratama, PT. Cycraft Technology Indonesia, PT. SLG Rekatama, PT. ncloz Engineering Services, PT. Erabaru Sukses Abadi, TSC Batam Perkasa, PT. Crown Headware & Knitting Mill, PT. Fastfood Indonesia, PT. Caltest Engineers, CV. Melvaro Berjaya Abadi, PT. Fantastik Internasional, PT. HAB Batam Cartons, PT. Ghim Li Indonesia, PT. IDwarehouse Service Solution, PT. Hokushin Indonesia, PT. Indo Sahari Indah, PT. Professional Technology Specialist, PT. Sim Tic Batam, PT. Tat Seng Teknologi Batam, PT. Tatseng Indoperkasa, PT. Citra Mandiri Distribusindo, PT. Tubular Services, PT. Ying Mei Indo Tobacco International, PT. Cigarette Machine Equipment, PT. Tunas Energi, PT. Asia Paperindo Perkasa, PT. Millionbuilt, PT. Top Baker Indonesia, PT. Bakti Tani Nusantara, PT. Sukaria Malindo Sukses, PT. Artha Jaya Semesta, PT. Transcal Suntech Internasional, PT. Asia Cocoa Indonesia, PT. Soonle Metalindo, PT. Amber Karya, PT. Raajratna Wire, PT. Interfood Sukses Jasindo ",https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf,N/A,,,In operation,Operational,2000,,,,,,,,,Mixed/General,"Mix - Electronics, Metal Stamping, Glass, Aluminum, Packaging, Consumer Goods, Plastic Moulding, Garment, Cigarettes, Marine Repair, Warehouse, Printing, Rubber, Manufacturing, Agriculture, Leather Seats, Cocoa, Calbe, Stainless Steel Wire ",
Union Industrial Park,Union Industrial Park,PT. Union Batam Abadi,"Tanjung Sengkuang, Batam City, Riau Islands, Indonesia",Batam City,Riau Islands,20.6,1.166806,104.016142,,N/A,PLN,,,2.3 MW,2.3,,,N/A,"Alfa Omega Batam PT, Alumindo Pratama CV, Arita Prima Indonesia PT, Agri Global Prima CV, Batam Sukses Mulia PT, Batam Sukses Sejahtera PT, Batam Lestari CV, Batam Marine Engineering Indonesia PT, Batam Narita Indah PT, Batam Xingrui Teknologi, Banlee Citra Nusa PT, Bestindo Perkasa PT, Bengkel Batam Bersama PT, Berkah Anugrah Shabilla, Bina Sukses Abadi PT, BME Wijaya PT, Boston Beton PT, Caterpillar Fastener Manufacturer PT, Central Prima Sukses PT, Chenyang Electronic
Indonesia PT, Comac Multi Industri PT, Darwin Karindo Mandiri PT, DIP Engineerng PT, Dynatech Rekayasa PT, Felindo Sukses Mandiri CV, Fresco Natural Anugerah PT, Getronics Batam PT, 8 Global Inter Pratama PT, Goodwill PT, Hadyson Indonesia PT, Harbor Jaya Garmindo PT, Home Center Indonesia PT, Henato Indo Internasional PT, Indo Niniki PT, Infiniti Marine PT, Jhedy Sukses Abadi Prakarsa PT, Jorujo Baja Nusantara PT, Jovan Technologies PT, Kasih Dharma Mulai PT, Karya Citra Lamcos PT, Kembang Sari Utama PT, Lautan Lestari PT, Linken Multi Karya PT, Makmur Batam Abadi PT, Mastercal Indonesia PT, Maulana Setia Usaha PT, Megah Persada Abadi PT, Megah Sukses Prima CV,  Metricpack Mandiri PT, Mitra Fesindo Jaya PT, Mitra Batam Abadi PT, Multi Global Trading PT, Multikarya Sarana Makmur PT, Multisarana Mega Sukses PT, NOLLIN Tiga Berlian PT, Ocean Bridge Supplies PT, Oneberry Technologies Indonesia PT, Panca Sukses Pratama, Perfect Seal PT, Perfect Precision Engineering
Ind PT, Pranata Makmur Sejahtera PT, Prislight PT, Prosperindo Nusa Jaya PT, Sanjaya Abadi Sukses PT, Segar Prima Jaya PT, Standard Automative Perkasa PT, Steeltech Asia PT, Sumber Mas Permai PT, Sumber Sari Sekawan PT, Sunway Facific Flow PT, Sunway Trek Masindo PT, Surya Dieselindo Abadi PT, Taka Marindo Trading PT, Tanjung Putera Maritim PT, Tanindo Sentosa PT, Tata Emerindo Trading PT, Terma Dinamik PT, The Costume Magnifique PT, TJ Commercial PT, Torido Internusa PT, Tri King Jaya CV, Truckindo Batam PT, Union Jaya Sejati PT, Union Plastic Industries PT, Weichai Utama Mandiri PT, Willinton Ciptaprima PT, Windu Jaya Utama PT                             ","https://kfmap.asia/industrial/union-industrial-park-13166
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf",N/A,,,In operation,Operational,1984,,,,,,,,,Mixed/General,"Mix - Aluminum, Marine Materials, Electronic Components, Logistics, Forwarding Service, Concrete, Metal Stamping, Packaging, Garment, Plastic, Marine Supplier, Appliance Manufature",
